obs_datetime,station_id,station_name,lat,lon,intensidadeVentoKM,temperatura,radiacao,idDireccVento,precAcumulada,intensidadeVento,humidade,pressao,direccVento_txt
2026-02-02 00:00:00,11217160,Santa Maria / Praia Formosa (DROTRH),36.9542,-25.0917,28.8,11.9,0.0,2,0.0,8.0,72.0,,NE
2026-02-02 00:00:00,11217165,Santa Maria / Maia (DROTRH),36.9412,-25.0176,23.8,11.5,0.0,8,0.0,6.6,74.0,,NW
2026-02-02 00:00:00,11217217,São Miguel / Santana (DROTRH),37.8049,-25.5618,7.2,10.4,4.7,7,0.6,2.0,82.0,,W
2026-02-02 00:00:00,11217225,São Miguel / Sete Cidades (DROTRH),37.8679,-25.772,16.6,9.0,10.0,6,1.2,4.6,86.0,,SW
2026-02-02 00:00:00,11217255,São Miguel / Lagoa das Furnas (DROTRH),37.7619,-25.3291,16.2,9.3,9.9,5,0.4,4.5,76.0,,S
2026-02-02 00:00:00,11217370,Terceira / Ribeira das Nove (DROTRH),38.754,-27.3245,10.8,5.1,0.0,7,0.0,3.0,99.0,,W
2026-02-02 00:00:00,11217372,Terceira / Serra do Cume (DROTRH),38.7002,-27.1031,20.5,6.9,0.0,8,0.2,5.7,96.0,,NW
2026-02-02 00:00:00,11217430,Graciosa / Serra das Fontes (DROTRH),39.0672,-28.0038,46.8,10.0,0.0,9,0.0,13.0,64.0,,N
2026-02-02 00:00:00,11217510,São Jorge / Pico do Areeiro (DROTRH),38.6435,-28.0591,24.5,4.5,0.0,6,0.4,6.8,94.0,,SW
2026-02-02 00:00:00,11217625,Pico / Cabeço do Teicho (DROTRH),38.489,-28.3534,22.0,4.4,0.0,7,3.3,6.1,98.0,,W
2026-02-02 00:00:00,11217645,Pico / Cabecinho (DROTRH),38.4338,-28.1141,22.3,6.6,0.0,8,1.9,6.2,97.0,,NW
2026-02-02 00:00:00,11217730,Faial / Cabeço Verde (DROTRH),38.5843,-28.7576,11.9,7.1,0.0,7,0.1,3.3,98.0,,W
2026-02-02 00:00:00,1200501,Flores (Aeródromo),39.45819,-31.1301,29.9,12.2,0.0,8,0.0,8.3,63.0,1014.7,NW
2026-02-02 00:00:00,1200502,Corvo (Aeródromo),39.67389,-31.11362,53.6,13.3,1.2,8,0.0,14.9,65.0,1013.6,NW
2026-02-02 00:00:00,1200504,Pico (Aeródromo),38.55219,-28.44137,24.8,11.3,0.0,8,0.5,6.9,78.0,1014.2,NW
2026-02-02 00:00:00,1200505,Horta / Aeroporto,38.5211,-28.7128,25.2,11.7,,8,0.1,7.0,69.0,1013.8,NW
2026-02-02 00:00:00,1200506,Horta (Obs. Principe Alberto),38.540781,-28.63225,41.8,10.8,0.0,8,0.2,11.6,79.0,1014.2,NW
