obs_datetime,station_id,station_name,lat,lon,intensidadeVentoKM,temperatura,radiacao,idDireccVento,precAcumulada,intensidadeVento,humidade,pressao,direccVento_txt
2026-02-05 00:00:00,11217160,Santa Maria / Praia Formosa (DROTRH),36.9542,-25.0917,16.2,13.6,0.0,3,0.0,4.5,80.0,,E
2026-02-05 00:00:00,11217165,Santa Maria / Maia (DROTRH),36.9412,-25.0176,23.0,13.3,0.0,7,0.0,6.4,80.0,,W
2026-02-05 00:00:00,11217217,São Miguel / Santana (DROTRH),37.8049,-25.5618,10.1,14.1,0.9,7,0.0,2.8,75.0,,W
2026-02-05 00:00:00,11217225,São Miguel / Sete Cidades (DROTRH),37.8679,-25.772,23.0,12.3,4.9,7,0.5,6.4,84.0,,W
2026-02-05 00:00:00,11217255,São Miguel / Lagoa das Furnas (DROTRH),37.7619,-25.3291,15.5,12.6,2.1,5,0.1,4.3,72.0,,S
2026-02-05 00:00:00,11217430,Graciosa / Serra das Fontes (DROTRH),39.0672,-28.0038,40.3,10.5,0.0,8,0.2,11.2,98.0,,NW
2026-02-05 00:00:00,11217510,São Jorge / Pico do Areeiro (DROTRH),38.6435,-28.0591,54.0,6.1,0.0,6,2.9,15.0,100.0,,SW
2026-02-05 00:00:00,11217625,Pico / Cabeço do Teicho (DROTRH),38.489,-28.3534,27.4,5.5,0.0,7,1.5,7.6,96.0,,W
2026-02-05 00:00:00,11217645,Pico / Cabecinho (DROTRH),38.4338,-28.1141,25.6,8.3,0.0,8,0.6,7.1,78.0,,NW
2026-02-05 00:00:00,11217730,Faial / Cabeço Verde (DROTRH),38.5843,-28.7576,6.8,7.9,0.0,7,0.4,1.9,99.0,,W
2026-02-05 00:00:00,1200501,Flores (Aeródromo),39.45819,-31.1301,32.4,10.8,0.0,8,1.1,9.0,76.0,999.6,NW
2026-02-05 00:00:00,1200502,Corvo (Aeródromo),39.67389,-31.11362,40.0,12.1,,8,0.6,11.1,77.0,998.8,NW
2026-02-05 00:00:00,1200504,Pico (Aeródromo),38.55219,-28.44137,19.4,11.6,0.0,7,0.2,5.4,80.0,999.2,W
2026-02-05 00:00:00,1200505,Horta / Aeroporto,38.5211,-28.7128,24.1,12.3,,7,0.7,6.7,77.0,999.2,W
2026-02-05 00:00:00,1200506,Horta (Obs. Principe Alberto),38.540781,-28.63225,41.4,10.5,0.3,7,2.1,11.5,94.0,999.6,W
2026-02-05 00:00:00,1200507,Graciosa (Aeródromo),39.09036,-28.02852,45.7,12.8,0.2,8,0.4,12.7,70.0,996.8,NW
2026-02-05 00:00:00,1200510,São Jorge,38.66,-28.17,32.4,12.7,2.6,7,1.8,9.0,84.0,998.2,W
