obs_datetime,station_id,station_name,lat,lon,intensidadeVentoKM,temperatura,radiacao,idDireccVento,precAcumulada,intensidadeVento,humidade,pressao,direccVento_txt
2026-01-19 00:00:00,11217160,Santa Maria / Praia Formosa (DROTRH),36.9542,-25.0917,23.4,13.4,0.0,4,0.7,6.5,100.0,,SE
2026-01-19 00:00:00,11217165,Santa Maria / Maia (DROTRH),36.9412,-25.0176,20.2,13.2,6.0,3,0.0,5.6,100.0,,E
2026-01-19 00:00:00,11217217,São Miguel / Santana (DROTRH),37.8049,-25.5618,11.5,13.1,2.0,8,0.0,3.2,90.0,,NW
2026-01-19 00:00:00,11217225,São Miguel / Sete Cidades (DROTRH),37.8679,-25.772,10.4,11.9,0.1,7,0.0,2.9,88.0,,W
2026-01-19 00:00:00,11217255,São Miguel / Lagoa das Furnas (DROTRH),37.7619,-25.3291,18.0,11.6,0.0,7,0.0,5.0,90.0,,W
2026-01-19 00:00:00,11217370,Terceira / Ribeira das Nove (DROTRH),38.754,-27.3245,5.8,7.4,0.0,4,0.0,1.6,100.0,,SE
2026-01-19 00:00:00,11217372,Terceira / Serra do Cume (DROTRH),38.7002,-27.1031,10.1,9.3,0.0,2,0.0,2.8,99.0,,NE
2026-01-19 00:00:00,11217430,Graciosa / Serra das Fontes (DROTRH),39.0672,-28.0038,5.4,11.4,0.0,2,0.0,1.5,86.0,,NE
2026-01-19 00:00:00,11217510,São Jorge / Pico do Areeiro (DROTRH),38.6435,-28.0591,7.2,6.1,0.0,6,0.1,2.0,100.0,,SW
2026-01-19 00:00:00,11217645,Pico / Cabecinho (DROTRH),38.4338,-28.1141,14.4,8.4,0.0,7,0.0,4.0,91.0,,W
2026-01-19 00:00:00,11217730,Faial / Cabeço Verde (DROTRH),38.5843,-28.7576,6.8,8.7,0.0,2,0.0,1.9,99.0,,NE
2026-01-19 00:00:00,1200501,Flores (Aeródromo),39.45819,-31.1301,6.1,12.2,0.0,7,0.0,1.7,80.0,1033.9,W
2026-01-19 00:00:00,1200502,Corvo (Aeródromo),39.67389,-31.11362,7.2,13.2,0.0,9,0.0,2.0,72.0,1033.5,N
2026-01-19 00:00:00,1200504,Pico (Aeródromo),38.55219,-28.44137,6.1,11.4,0.0,4,0.0,1.7,90.0,1033.0,SE
2026-01-19 00:00:00,1200505,Horta / Aeroporto,38.5211,-28.7128,5.4,12.0,,2,0.0,1.5,72.0,1032.4,NE
2026-01-19 00:00:00,1200506,Horta (Obs. Principe Alberto),38.540781,-28.63225,13.7,12.9,0.0,1,0.0,3.8,80.0,1033.0,N
2026-01-19 00:00:00,1200510,São Jorge,38.66,-28.17,5.8,13.0,0.0,2,0.0,1.6,72.0,1032.6,NE
2026-01-19 00:00:00,1200511,Angra do Heroísmo,38.6659435,-27.216567,3.2,11.4,0.0,3,0.0,0.9,80.0,1033.1,E
