obs_datetime,station_id,station_name,lat,lon,intensidadeVentoKM,temperatura,radiacao,idDireccVento,precAcumulada,intensidadeVento,humidade,pressao,direccVento_txt
2026-01-28 00:00:00,11217160,Santa Maria / Praia Formosa (DROTRH),36.9542,-25.0917,25.9,16.3,0.0,3,0.0,7.2,95.0,,E
2026-01-28 00:00:00,11217165,Santa Maria / Maia (DROTRH),36.9412,-25.0176,22.7,16.0,0.0,7,0.0,6.3,93.0,,W
2026-01-28 00:00:00,11217225,São Miguel / Sete Cidades (DROTRH),37.8679,-25.772,23.4,15.1,0.0,6,0.0,6.5,100.0,,SW
2026-01-28 00:00:00,11217255,São Miguel / Lagoa das Furnas (DROTRH),37.7619,-25.3291,22.0,16.7,2.6,5,0.1,6.1,83.0,,S
2026-01-28 00:00:00,11217372,Terceira / Serra do Cume (DROTRH),38.7002,-27.1031,43.9,14.7,0.0,7,1.0,12.2,100.0,,W
2026-01-28 00:00:00,11217430,Graciosa / Serra das Fontes (DROTRH),39.0672,-28.0038,43.9,15.1,0.0,8,0.1,12.2,100.0,,NW
2026-01-28 00:00:00,11217510,São Jorge / Pico do Areeiro (DROTRH),38.6435,-28.0591,50.8,12.7,0.0,6,0.2,14.1,100.0,,SW
2026-01-28 00:00:00,11217625,Pico / Cabeço do Teicho (DROTRH),38.489,-28.3534,49.7,13.4,0.0,6,3.1,13.8,99.0,,SW
2026-01-28 00:00:00,11217645,Pico / Cabecinho (DROTRH),38.4338,-28.1141,50.0,15.6,0.0,7,0.9,13.9,92.0,,W
2026-01-28 00:00:00,11217710,Faial / Alto do Cabouco (DROTRH),38.587,-28.6992,,13.2,0.0,4,1.6,,99.0,,SE
2026-01-28 00:00:00,11217730,Faial / Cabeço Verde (DROTRH),38.5843,-28.7576,12.2,14.4,0.0,6,0.2,3.4,100.0,,SW
2026-01-28 00:00:00,1200501,Flores (Aeródromo),39.45819,-31.1301,42.8,18.7,0.0,7,0.1,11.9,85.0,1002.6,W
2026-01-28 00:00:00,1200502,Corvo (Aeródromo),39.67389,-31.11362,51.8,17.5,0.0,7,0.0,14.4,92.0,1000.8,W
2026-01-28 00:00:00,1200504,Pico (Aeródromo),38.55219,-28.44137,25.9,17.0,0.0,7,1.9,7.2,93.0,1006.1,W
2026-01-28 00:00:00,1200505,Horta / Aeroporto,38.5211,-28.7128,41.4,17.1,,7,0.1,11.5,93.0,1005.3,W
2026-01-28 00:00:00,1200506,Horta (Obs. Principe Alberto),38.540781,-28.63225,54.4,16.9,0.2,7,0.1,15.1,99.0,1004.9,W
2026-01-28 00:00:00,1200510,São Jorge,38.66,-28.17,35.3,16.8,0.0,7,0.0,9.8,,1004.5,W
2026-01-28 00:00:00,1200511,Angra do Heroísmo,38.6659435,-27.216567,29.2,17.0,0.0,7,0.0,8.1,91.0,1004.3,W
2026-01-28 00:00:00,1200512,P. Delgada (Aeródromo),37.74414,-25.6953048,61.9,16.5,0.0,7,0.0,17.2,93.0,1005.6,W
2026-01-28 00:00:00,1200515,Santa Maria (Aeródromo),36.967175,-25.1679,44.3,16.9,0.0,7,0.0,12.3,88.0,1009.7,W
2026-01-28 00:00:00,1200521,Santa Catarina (Aeródromo),32.69688,-16.77612,,16.7,0.1,0,0.0,,66.0,1017.7,
2026-01-28 00:00:00,1200522,Funchal,32.64786,-16.888,13.7,17.6,0.0,7,0.0,3.8,65.0,1018.7,W
2026-01-28 00:00:00,1200524,Porto Santo,33.074029,-16.34868,24.1,16.8,0.0,7,0.0,6.7,78.0,1017.7,W
2026-01-28 00:00:00,1200531,Cabo Carvoeiro,39.38,-9.40737778,35.6,13.2,,0,0.2,9.9,80.0,1001.4,
2026-01-28 00:00:00,1200533,Sagres,37.012835,-8.949089,24.1,13.7,,6,0.2,6.7,84.0,1008.9,SW
2026-01-28 00:00:00,1200535,Lisboa (Geofísico),38.71907778,-9.14972222,24.8,11.8,0.0,6,2.7,6.9,100.0,1003.4,SW
2026-01-28 00:00:00,1200541,Sines,37.954504,-8.838271,23.8,12.9,0.0,7,1.8,6.6,98.0,1006.1,W
2026-01-28 00:00:00,1200545,"Porto, Pedras Rubras (Aeródromo)",41.233502,-8.681332,12.2,9.5,2.9,5,0.2,3.4,83.0,999.6,S
2026-01-28 00:00:00,1200548,Coimbra (Aeródromo),40.15006944,-8.46669167,20.2,8.1,0.0,5,0.0,5.6,95.0,1002.1,S
2026-01-28 00:00:00,1200551,"Viana Castelo, Chafé",41.648875,-8.804606,7.6,6.4,0.0,3,0.2,2.1,100.0,998.9,E
2026-01-28 00:00:00,1200554,Faro (Aeródromo),37.016579,-7.971953,30.2,14.1,0.0,6,0.6,8.4,84.0,1009.6,SW
