obs_datetime,station_id,station_name,lat,lon,intensidadeVentoKM,temperatura,radiacao,idDireccVento,precAcumulada,intensidadeVento,humidade,pressao,direccVento_txt
2026-03-01 00:00:00,11217160,Santa Maria / Praia Formosa (DROTRH),36.9542,-25.0917,16.2,15.0,0.2,2,0.2,4.5,100.0,,NE
2026-03-01 00:00:00,11217165,Santa Maria / Maia (DROTRH),36.9412,-25.0176,7.9,15.0,3.0,7,0.3,2.2,98.0,,W
2026-03-01 00:00:00,11217217,São Miguel / Santana (DROTRH),37.8049,-25.5618,7.6,14.7,0.0,7,0.0,2.1,96.0,,W
2026-03-01 00:00:00,11217225,São Miguel / Sete Cidades (DROTRH),37.8679,-25.772,13.3,14.2,5.1,7,0.0,3.7,98.0,,W
2026-03-01 00:00:00,11217255,São Miguel / Lagoa das Furnas (DROTRH),37.7619,-25.3291,5.4,14.2,1.7,3,0.0,1.5,92.0,,E
2026-03-01 00:00:00,11217370,Terceira / Ribeira das Nove (DROTRH),38.754,-27.3245,5.4,10.6,0.0,8,0.0,1.5,100.0,,NW
2026-03-01 00:00:00,11217372,Terceira / Serra do Cume (DROTRH),38.7002,-27.1031,12.2,12.2,0.0,8,0.0,3.4,98.0,,NW
2026-03-01 00:00:00,11217430,Graciosa / Serra das Fontes (DROTRH),39.0672,-28.0038,19.8,13.9,0.0,8,0.0,5.5,100.0,,NW
2026-03-01 00:00:00,11217625,Pico / Cabeço do Teicho (DROTRH),38.489,-28.3534,11.5,11.3,0.0,7,0.0,3.2,73.0,,W
2026-03-01 00:00:00,11217645,Pico / Cabecinho (DROTRH),38.4338,-28.1141,7.9,11.4,0.0,7,0.0,2.2,76.0,,W
2026-03-01 00:00:00,11217710,Faial / Alto do Cabouco (DROTRH),38.587,-28.6992,,10.2,0.0,3,0.0,,99.0,,E
2026-03-01 00:00:00,11217730,Faial / Cabeço Verde (DROTRH),38.5843,-28.7576,4.3,12.7,0.0,6,0.0,1.2,100.0,,SW
2026-03-01 00:00:00,1200501,Flores (Aeródromo),39.45819,-31.1301,21.6,17.2,0.0,6,0.0,6.0,87.0,1027.5,SW
2026-03-01 00:00:00,1200502,Corvo (Aeródromo),39.67389,-31.11362,29.2,16.4,0.0,7,0.0,8.1,95.0,1027.2,W
2026-03-01 00:00:00,1200504,Pico (Aeródromo),38.55219,-28.44137,13.0,15.5,0.0,6,0.0,3.6,87.0,1029.1,SW
2026-03-01 00:00:00,1200505,Horta / Aeroporto,38.5211,-28.7128,11.2,16.3,,7,0.0,3.1,90.0,1029.2,W
2026-03-01 00:00:00,1200506,Horta (Obs. Principe Alberto),38.540781,-28.63225,29.5,15.5,0.0,7,0.0,8.2,95.0,1029.2,W
2026-03-01 00:00:00,1200507,Graciosa (Aeródromo),39.09036,-28.02852,22.0,15.6,0.0,7,0.0,6.1,92.0,1028.1,W
2026-03-01 00:00:00,1200510,São Jorge,38.66,-28.17,11.2,15.4,0.0,8,0.0,3.1,,1029.3,NW
2026-03-01 00:00:00,1200511,Angra do Heroísmo,38.6659435,-27.216567,3.6,14.0,0.0,4,0.0,1.0,95.0,1029.2,SE
2026-03-01 00:00:00,1200512,P. Delgada (Aeródromo),37.74414,-25.6953048,25.6,15.4,0.0,8,0.0,7.1,99.0,1028.8,NW
2026-03-01 00:00:00,1200515,Santa Maria (Aeródromo),36.967175,-25.1679,23.0,15.5,0.3,8,0.0,6.4,,1029.9,NW
2026-03-01 00:00:00,1200521,Santa Catarina (Aeródromo),32.69688,-16.77612,,14.9,0.1,0,0.0,,69.0,1026.0,
2026-03-01 00:00:00,1200522,Funchal,32.64786,-16.888,3.2,14.8,0.0,1,0.0,0.9,57.0,1025.7,N
2026-03-01 00:00:00,1200524,Porto Santo,33.074029,-16.34868,22.0,14.5,0.1,1,0.0,6.1,71.0,1026.3,N
2026-03-01 00:00:00,1200533,Sagres,37.012835,-8.949089,19.1,11.3,,7,0.0,5.3,66.0,1022.7,W
2026-03-01 00:00:00,1200535,Lisboa (Geofísico),38.71907778,-9.14972222,17.3,11.0,0.0,9,0.0,4.8,77.0,1023.8,N
